"person","text","word.num","dc","sf","wes","pol","rejk","lk","azx","mmm"
"Sampson","weaker",119,0,0,0,0,0,0,0,0
"Sampson","vessels,",120,0,0,0,0,0,0,0,0
"Sampson","are",121,0,0,0,0,0,0,0,0
"Sampson","ever",122,0,0,0,0,0,0,0,0
"Sampson","thrust",123,0,0,0,0,0,0,0,0
"Sampson","to",124,0,0,0,0,0,0,0,0
"Sampson","the",125,0,0,0,0,0,0,0,0
"Sampson","wall.",126,0,0,0,0,0,0,0,0
"Sampson","therefore",127,0,0,0,0,0,0,0,0
"Sampson","I",128,0,0,0,0,0,0,0,0
"Sampson","will",129,0,0,0,0,0,0,0,0
"Sampson","push",130,0,0,0,0,0,0,0,0
"Sampson","Montague's",131,0,0,0,0,0,0,0,0
"Sampson","men",132,0,0,0,0,0,0,0,0
"Sampson","from",133,0,0,0,0,0,0,0,0
"Sampson","the",134,0,0,0,0,0,0,0,0
"Sampson","wall,",135,0,0,0,0,0,0,0,0
"Sampson","and",136,0,0,0,0,0,0,0,0
"Sampson","thrust",137,0,0,0,0,0,0,0,0
"Sampson","his",138,0,0,0,0,0,0,0,0
"Sampson","maids",139,0,0,0,0,0,0,0,0
"Sampson","to",140,0,0,0,0,0,0,0,0
"Sampson","the",141,0,0,0,0,0,0,0,0
"Sampson","wall.",142,0,0,0,0,0,0,0,0
"Gregory","The",143,0,0,0,0,0,0,0,0
"Gregory","quarrel",144,0,0,0,0,0,0,0,0
"Gregory","is",145,0,0,0,0,0,0,0,0
"Gregory","between",146,0,0,0,0,0,0,0,0
"Gregory","our",147,0,0,0,0,0,0,0,0
"Gregory","masters",148,0,0,0,0,0,0,0,0
"Gregory","and",149,0,0,0,0,0,0,0,0
"Gregory","us",150,0,0,0,0,0,0,0,0
"Gregory","their",151,0,0,0,0,0,0,0,0
"Gregory","men.",152,0,0,0,0,0,0,0,0
"Sampson","'Tis",153,0,0,0,0,0,0,0,0
"Sampson","all",154,0,0,0,0,0,0,0,0
"Sampson","one,",155,0,0,0,0,0,0,0,0
"Sampson","I",156,0,0,0,0,0,0,0,0
"Sampson","will",157,0,0,0,0,0,0,0,0
"Sampson","show",158,0,0,0,0,0,0,0,0
"Sampson","myself",159,0,0,0,0,0,0,0,0
"Sampson","a",160,0,0,0,0,0,0,0,0
"Sampson","tyrant.",161,0,0,0,0,0,0,0,0
"Sampson","when",162,0,0,0,0,0,0,0,0
"Sampson","I",163,0,0,0,0,0,0,0,0
"Sampson","have",164,0,0,0,0,0,0,0,0
"Sampson","fought",165,0,0,0,0,0,0,0,0
"Sampson","with",166,0,0,0,0,0,0,0,0
"Sampson","the",167,0,0,0,0,0,0,0,0
"Sampson","men,",168,0,0,0,0,0,0,0,0
"Sampson","I",169,0,0,0,0,0,0,0,0
"Sampson","will",170,0,0,0,0,0,0,0,0
